,home_team,home_score,pitcher_home,hitter_home,away_team,away_score,pitcher_away,hitter_away
56,LG,5,소사,"오지환, 이형종, 양석환, 문선재, 채은성, 손주인, 정성훈, 임훈, 박용택",DOOSAN,4,유희관,"민병헌, 국해성, 오재원, 최주환, 박건우, 김인태, 양의지, 에반스, 김민혁"
57,NEXEN,8,오설리반,"대니돈, 서건창, 이택근, 김민성, 윤석민, 김태완, 고종욱, 김하성, 김재현",SAMSUNG,6,윤성환,"박해민, 러프, 우동균, 강한울, 이승엽, 이지영, 안주형, 구자욱, 김헌곤"
58,DOOSAN,3,니퍼트,"양의지, 민병헌, 오재원, 에반스, 김재환, 박건우, 허경민, 오재일, 김재호",HANHWA,0,비야누에바,"로사리오, 김원석, 장민석, 최진행, 조인성, 신성현, 김태균, 임익준, 송광민"
59,SAMSUNG,2,페트릭,"구자욱, 러프, 이승엽, 이원석, 박해민, 김헌곤, 이지영, 강한울, 조동찬",KIA,7,헥터,"버나디나, 서동욱, 김주찬, 최형우, 김주형, 나지완, 이범호, 김선빈, 이홍구"
60,SK,2,켈리,"김강민, 정의윤, 박정권, 김동엽, 한동민, 이재원, 김성현, 최정, 박승욱",KT,3,로치,"이대형, 하준호, 유한준, 박경수, 이해창, 박기혁, 심우준, 모넬, 이진영"
61,NEXEN,1,밴헤켄,"윤석민, 서건창, 이택근, 채태인, 대니돈, 김민성, 고종욱, 김하성, 박동원",LG,2,소사,"이형종, 박용택, 히메네스, 오지환, 채은성, 정성훈, 정상호, 최재원, 문선재"
62,NC,6,맨쉽,"김성욱, 지석훈, 모창민, 손시헌, 김태군, 나성범, 박석민, 권희동, 스크럭스",LOTTE,5,레일리,"전준우, 손아섭, 이대호, 최준석, 강민호, 김문호, 번즈, 신본기, 문규현"
63,DOOSAN,5,유희관,"에반스, 오재일, 박건우, 민병헌, 오재원, 김재환, 양의지, 허경민, 김재호",HANHWA,6,오간도,"장민석, 로사리오, 조인성, 김원석, 송광민, 김태균, 신성현, 최진행, 강경학"
64,SAMSUNG,7,우규민,"강한울, 박해민, 구자욱, 이승엽, 김헌곤, 백상원, 러프, 이원석, 이지영",KIA,9,팻딘,"버나디나, 노수광, 서동욱, 김주형, 김주찬, 김선빈, 최형우, 나지완, 이호신"
65,NEXEN,3,오설리반,"채태인, 서건창, 이택근, 윤석민, 대니돈, 김민성, 김하성, 박동원, 고종욱",LG,8,류제국,"박용택, 김용의, 오지환, 이형종, 이천웅, 손주인, 히메네스, 정성훈, 유강남"
66,SK,0,윤희상,"김강민, 워스, 최정, 정의윤, 김동엽, 이재원, 김성현, 박승욱, 나주환",KT,2,정대현,"이대형, 하준호, 유한준, 모넬, 박경수, 이진영, 이해창, 박기혁, 심우준"
67,NC,0,이재학,"김성욱, 모창민, 나성범, 지석훈, 손시헌, 스크럭스, 박석민, 권희동, 김태군",LOTTE,3,김원중,"전준우, 번즈, 김대우, 문규현, 신본기, 손아섭, 이대호, 김문호, 강민호"
68,DOOSAN,5,고원준,"민병헌, 오재원, 에반스, 김재환, 박건우, 김재호, 양의지, 오재일, 류지혁",HANHWA,4,송은범,"강경학, 하주석, 장민석, 로사리오, 김원석, 김태균, 조인성, 송광민, 신성현"
69,SAMSUNG,16,윤성환,"이지영, 김헌곤, 박해민, 강한울, 구자욱, 러프, 이승엽, 백상원, 이원석",KIA,3,김윤동,"버나디나, 노수광, 김주형, 이홍구, 김주찬, 신종길, 서동욱, 김선빈, 이인행"
70,SK,1,문승원,"김강민, 워스, 최정, 정의윤, 김동엽, 박승욱, 이재원, 나주환, 김성현",KT,8,피어밴드,"심우준, 전민수, 유한준, 박경수, 장성우, 하준호, 모넬, 이진영, 박기혁"
71,NEXEN,2,신재영,"채태인, 윤석민, 김민성, 김하성, 대니돈, 이정후, 서건창, 이택근, 박동원",LG,9,윤지웅,"박용택, 채은성, 히메네스, 김용의, 오지환, 유강남, 손주인, 서상우, 이천웅"
72,NC,4,구창모,"김성욱, 나성범, 모창민, 스크럭스, 박석민, 권희동, 손시헌, 김태군, 지석훈",LOTTE,12,박진형,"강민호, 전준우, 손아섭, 김문호, 문규현, 신본기, 번즈, 이대호, 최준석"
73,HANHWA,6,배영수,"장민석, 하주석, 김태균, 로사리오, 최진행, 신성현, 김원석, 이동훈, 강경학",NC,0,최금강,"이상호, 나성범, 스크럭스, 권희동, 김성욱, 모창민, 조평호, 김태군, 지석훈"
74,KIA,6,양현종,"김주찬, 최형우, 나지완, 서동욱, 신종길, 김선빈, 김주형, 노수광, 한승택",SK,1,박종훈,"김강민, 최정, 정의윤, 김동엽, 박정권, 이재원, 워스, 김성현, 박승욱"
75,LG,11,차우찬,"김용의, 오지환, 박용택, 히메네스, 채은성, 이형종, 정성훈, 유강남, 손주인",SAMSUNG,0,장원삼,"박해민, 구자욱, 러프, 이승엽, 이원석, 김헌곤, 이지영, 강한울, 조동찬"
76,LOTTE,5,박세웅,"전준우, 번즈, 손아섭, 이대호, 최준석, 강민호, 김문호, 문규현, 신본기",NEXEN,2,최원태,"서건창, 대니돈, 채태인, 고종욱, 이정후, 윤석민, 김민성, 김하성, 박동원"
77,KT,0,주권,"이대형, 심우준, 유한준, 박경수, 모넬, 박기혁, 오정복, 하준호, 이진영",DOOSAN,2,장원준,"민병헌, 김재환, 오재원, 에반스, 양의지, 오재일, 허경민, 김재호, 박건우"
78,HANHWA,2,오간도,"장민석, 하주석, 김태균, 로사리오, 이양기, 최진행, 송광민, 정근우, 강경학",NC,5,해커,"이상호, 나성범, 김준완, 박석민, 권희동, 김태군, 스크럭스, 지석훈, 손시헌"
79,KT,5,고영표,"박경수, 심우준, 오정복, 박기혁, 이대형, 유한준, 모넬, 장성우, 홍현빈",DOOSAN,1,함덕주,"민병헌, 오재원, 김재환, 박건우, 김재호, 양의지, 오재일, 에반스, 최주환"
80,KIA,6,임기영,"버나디나, 노수광, 김주찬, 김선빈, 김주형, 최형우, 나지완, 서동욱, 한승택",SK,4,켈리,"정진기, 정의윤, 한동민, 이재원, 김성현, 최정, 김동엽, 박승욱, 박정권"
81,LG,4,소사,"오지환, 채은성, 박용택, 이형종, 양석환, 유강남, 최재원, 김용의, 히메네스",SAMSUNG,0,페트릭,"박해민, 구자욱, 러프, 강한울, 이승엽, 이원석, 이지영, 백상원, 김헌곤"
82,LOTTE,12,레일리,"전준우, 번즈, 손아섭, 이우민, 신본기, 이대호, 최준석, 강민호, 문규현",NEXEN,3,오주원,"서건창, 이정후, 이택근, 윤석민, 김태완, 허정협, 김민성, 김하성, 박동원"
83,KIA,4,헥터,"버나디나, 김주찬, 김선빈, 나지완, 서동욱, 안치홍, 김주형, 최형우, 한승택",HANHWA,2,비야누에바,"장민석, 하주석, 송광민, 로사리오, 이양기, 최진행, 정근우, 김태균, 조인성"
84,LOTTE,4,김원중,"전준우, 번즈, 최준석, 손아섭, 이대호, 강민호, 신본기, 문규현, 이우민",LG,6,류제국,"이형종, 박용택, 히메네스, 채은성, 임훈, 최재원, 오지환, 정성훈, 유강남"
85,SK,3,김주한,"김강민, 김동엽, 한동민, 이재원, 김성현, 노수광, 최정, 박승욱, 정의윤",NC,5,맨쉽,"김준완, 박석민, 박민우, 나성범, 지석훈, 스크럭스, 손시헌, 김태군, 권희동"
86,KT,3,로치,"유한준, 모넬, 이대형, 전민수, 박경수, 박기혁, 심우준, 이진영, 이해창",SAMSUNG,2,우규민,"박해민, 강한울, 이승엽, 이원석, 김헌곤, 구자욱, 러프, 이지영, 백상원"
