name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
손승락,롯데,4.26,48,7,3,20,0,0.7,50 2/3,61,5,24,3,48,25,24,1.68,4.26,0,0,7,40,26,2,6,55,33,1.67
레일리,롯데,4.34,31,8,10,0,0,0.444,184 2/3,207,21,51,17,147,105,89,1.4,4.34,31,8,0,1,0,0,19,218,160,1.36
홍성민,롯데,4.46,52,1,1,2,5,0.5,42 1/3,45,5,16,1,30,24,21,1.44,4.46,0,0,1,8,11,1,3,41,51,0.8
정대현,롯데,5.19,24,1,0,0,8,1,17 1/3,24,3,13,0,7,10,10,2.13,5.19,0,0,1,3,7,0,1,20,20,1
린드블럼,롯데,5.28,30,10,13,0,0,0.435,177 1/3,197,28,77,9,148,109,104,1.55,5.28,30,10,0,1,0,0,11,186,168,1.11
강영식,롯데,5.4,24,0,2,0,5,0,11 2/3,13,2,9,0,11,8,7,1.89,5.4,0,0,0,1,9,0,2,6,16,0.38
박시영,롯데,5.4,42,2,3,0,1,0.4,61 2/3,64,6,29,2,57,38,37,1.51,5.4,2,1,1,12,4,0,3,61,63,0.97
박세웅,롯데,5.76,27,7,12,0,0,0.368,139,160,17,62,6,133,97,89,1.6,5.76,27,7,0,0,0,0,16,127,131,0.97
박진형,롯데,5.81,39,6,2,0,3,0.75,93,101,9,54,13,78,65,60,1.67,5.81,14,5,1,4,2,0,7,94,93,1.01
윤길현,롯데,6,62,7,7,2,16,0.5,60,75,8,22,2,50,42,40,1.62,6,0,0,7,14,29,0,3,53,71,0.75
박한길,롯데,6.06,9,0,0,0,0,-,16 1/3,24,1,7,1,10,15,11,1.9,6.06,0,0,0,6,0,0,3,24,12,2
김유영,롯데,6.55,46,0,1,1,3,0,34 1/3,37,3,30,0,31,32,25,1.95,6.55,0,0,0,8,6,0,1,40,30,1.33
노경은,롯데,6.85,22,3,12,0,0,0.2,94 2/3,128,13,48,5,52,79,72,1.86,6.85,20,3,0,0,1,0,10,122,93,1.31
이성민,롯데,7.08,36,6,5,0,1,0.545,68 2/3,89,11,42,4,47,59,54,1.91,7.08,6,3,3,12,0,0,12,81,61,1.33
김성재,롯데,7.36,6,0,0,0,0,-,3 2/3,5,2,2,0,3,3,3,1.91,7.36,0,0,0,2,0,0,1,2,4,0.5
송승준,롯데,8.71,10,1,2,0,0,0.333,41 1/3,62,6,21,2,35,43,40,2.01,8.71,10,1,0,0,0,0,4,50,30,1.67
이명우,롯데,9.27,45,2,3,0,6,0.4,33,41,5,18,1,25,37,34,1.79,9.27,2,0,2,6,7,0,1,44,25,1.76
김원중,롯데,9.39,3,0,1,0,0,0,7 2/3,7,2,8,0,5,8,8,1.96,9.39,2,0,0,0,0,0,0,4,13,0.31
강승현,롯데,9.72,6,0,0,0,0,-,8 1/3,14,2,5,0,7,9,9,2.28,9.72,0,0,0,4,0,0,1,8,9,0.89
이경우,롯데,13.5,1,0,0,0,0,-,2,3,1,0,0,1,3,3,1.5,13.5,0,0,0,0,0,0,0,4,1,4
차재용,롯데,20.25,2,0,0,0,0,-,2 2/3,3,1,4,0,0,6,6,2.63,20.25,0,0,0,1,0,0,1,4,3,1.33
김승현,삼성,0,2,0,0,0,0,-,2,1,0,0,0,1,0,0,0.5,0,0,0,0,2,0,0,0,4,1,4
심창민,삼성,2.97,62,2,6,25,4,0.25,72 2/3,59,6,26,4,76,29,24,1.17,2.97,0,0,2,42,34,2,2,50,87,0.57
신용운,삼성,3.38,13,0,0,0,2,-,8,12,0,4,3,7,7,3,2,3.38,0,0,0,2,2,0,2,9,8,1.13
김현우,삼성,3.48,17,1,0,0,0,1,20 2/3,26,3,4,2,19,9,8,1.45,3.48,0,0,1,7,0,0,1,15,25,0.6
김건한,삼성,3.72,3,1,0,0,0,1,9 2/3,9,1,3,1,7,5,4,1.24,3.72,3,1,0,0,0,0,0,10,14,0.71
권오준,삼성,3.88,41,1,3,0,7,0.25,46 1/3,48,9,11,3,35,20,20,1.27,3.88,0,0,1,8,7,0,3,36,55,0.65
박민규,삼성,4.26,6,0,0,0,0,-,6 1/3,7,0,5,0,4,3,3,1.89,4.26,0,0,0,4,0,0,2,6,7,0.86
윤성환,삼성,4.35,28,11,10,0,0,0.524,180,202,25,41,13,85,95,87,1.35,4.35,28,11,0,1,0,0,18,168,247,0.68
차우찬,삼성,4.73,24,12,6,0,0,0.667,152 1/3,168,16,65,8,120,87,80,1.53,4.73,24,12,0,1,0,0,17,146,154,0.95
김대우,삼성,5.05,67,6,0,0,11,1,66,82,8,19,6,37,39,37,1.53,5.05,0,0,6,7,11,0,7,66,85,0.78
장필준,삼성,5.13,56,4,6,4,9,0.4,72,82,9,26,5,57,42,41,1.5,5.13,1,0,4,18,13,0,9,75,69,1.09
임대한,삼성,5.14,26,0,1,0,0,0,28,33,2,14,2,13,18,16,1.68,5.14,0,0,0,10,0,0,7,33,29,1.14
웹스터,삼성,5.7,12,4,4,0,0,0.5,71,72,10,47,3,59,48,45,1.68,5.7,12,4,0,0,0,0,9,94,47,2
백정현,삼성,5.77,70,6,3,0,9,0.667,68 2/3,73,9,30,2,77,44,44,1.5,5.77,4,2,4,8,12,0,0,54,67,0.81
안지만,삼성,5.79,31,2,5,5,5,0.286,37 1/3,44,9,15,4,41,26,24,1.58,5.79,0,0,2,11,11,0,1,24,43,0.56
정인욱,삼성,6.81,27,4,7,0,0,0.364,111,138,19,62,8,70,92,84,1.8,6.81,23,4,0,2,0,0,6,102,153,0.67
장원삼,삼성,7.01,26,5,8,0,2,0.385,78 1/3,114,16,23,2,53,69,61,1.75,7.01,13,2,3,1,2,0,6,82,85,0.96
김기태,삼성,7.08,17,4,4,0,0,0.5,75,94,20,22,10,34,61,59,1.55,7.08,15,4,0,1,0,0,3,73,108,0.68
박근홍,삼성,7.46,60,0,2,0,9,0,41,42,5,27,4,40,34,34,1.68,7.46,0,0,0,8,16,0,1,24,51,0.47
